sample	mCG	cov_CG	mCH	cov_CH	mCA	cov_CA	mCGlevel	mCHlevel	mCAlevel
Glia_Oligo-AF2	72840301	88537605	41272628	1857894212	19958362	694224816	0.822704668824055	0.022214735227346735	0.0287491336235955
Glia_Oligo-AF3	68581590	85457951	17652270	1671467368	10627937	631235917	0.8025185392053221	0.010560942042872116	0.016836711463615907
Glia_Oligo-AM1	249642914	308765811	102661226	6039733413	65654919	2281018202	0.8085186413336417	0.016997641945426044	0.028783163125324328
Glia_Oligo-AM2	137858479	167439552	58628755	3339426324	34175855	1275403674	0.8233328228207395	0.01755653495890691	0.02679610831981969
Glia_Oligo-AM3	107637876	132508854	33757719	2588471639	19450213	974286290	0.8123070477992361	0.01304156417685981	0.019963549933562134
Glia_Oligo-YF1	69862675	85088132	26217979	1779391766	12191507	670317592	0.8210625072836245	0.014734236440206164	0.01818765782891761
Glia_Oligo-YF2	136761492	169034140	40607447	3417195189	23483264	1295457558	0.809076154675026	0.011883268222639418	0.0181273897048814
Glia_Oligo-YM1	24779867	31285791	10116074	619979452	5568558	233533393	0.7920486012324253	0.01631678915707032	0.023844804070482544
Glia_Oligo-YM2	128838931	159884861	35650398	3199423751	19757560	1209000319	0.805823204236954	0.011142755938114557	0.016342063512722695
Glia_Oligo-YM3	61173597	77052424	18444968	1537505996	10438056	580743313	0.7939217720132984	0.011996680369368785	0.017973613757305544
L6b_TLE4_NXPH4-AF1	206954369	247664012	325114333	4902835594	228994818	1854786097	0.8356255207559183	0.06631148990552915	0.12346157779076775
L6b_TLE4_NXPH4-AF2	261223682	316803518	386903423	6341485754	265308544	2387297878	0.824560546704535	0.06101147869897115	0.11113340586649656
L6b_TLE4_NXPH4-AF3	145235624	174492336	234897967	3448785829	165201353	1302359839	0.8323323953895603	0.06811033756425239	0.12684770218870361
L6b_TLE4_NXPH4-AM1	410861817	488837718	751840754	9641784116	530338975	3629109782	0.840487143015425	0.07797734785954837	0.14613472913672249
L6b_TLE4_NXPH4-AM2	23617339	27537616	49456948	546781874	34166133	207840658	0.857639201592469	0.09045096472967573	0.16438618569038596
L6b_TLE4_NXPH4-AM3	78896591	94520639	122747679	1848810301	85042426	694747660	0.8347022601063879	0.06639279266975481	0.12240764654032804
L6b_TLE4_NXPH4-YF1	39029280	47420722	60326885	974255210	41167592	368683530	0.8230427195941892	0.06192102888523429	0.11166105521448165
L6b_TLE4_NXPH4-YF2	157120484	191315492	257141206	3835684838	179736634	1450381109	0.8212637793075325	0.06703919035592047	0.12392372796686778
L6b_TLE4_NXPH4-YM1	9467197	11282759	19000952	220857645	13298074	83099122	0.8390852804708494	0.08603257541752743	0.16002664865700988
L6b_TLE4_NXPH4-YM2	38338647	47091251	57800059	926980053	40742140	350322129	0.8141352413848594	0.06235307740758905	0.11629907627102826
L6b_TLE4_NXPH4-YM3	21941310	26149151	38694227	524945910	27316304	198692017	0.8390830738634688	0.07371088385087142	0.1374806316451053
L6CT_TLE4_FAM95C-AF1	109011494	130725817	104566836	2596667519	73946762	983292090	0.8338941496154505	0.04026962837362776	0.07520325115195425
L6CT_TLE4_FAM95C-AF2	226776051	272929713	226592131	5497751155	156316099	2073315326	0.8308954291099848	0.041215421471727194	0.07539427169603627
L6CT_TLE4_FAM95C-AF3	136003765	164103371	133034009	3225721835	94174639	1218254680	0.8287688678863275	0.041241624605241264	0.0773029158402248
L6CT_TLE4_FAM95C-AM1	438246356	526144897	459704742	10417666796	327958490	3926574883	0.8329385279583924	0.04412741845194259	0.08352279015991454
L6CT_TLE4_FAM95C-AM2	35626161	42422089	39062050	832115903	26580797	315527148	0.8398021370423319	0.04694303985679264	0.08424250391284872
L6CT_TLE4_FAM95C-AM3	156388516	188600938	148013330	3691070616	102688629	1388075255	0.829203277875532	0.040100378832741354	0.07397915107996073
L6CT_TLE4_FAM95C-YF1	64732600	77490371	61502196	1604751254	41404437	607957319	0.8353631446673548	0.03832506492623062	0.06810418380702149
L6CT_TLE4_FAM95C-YF2	104536151	126432943	100107187	2534260179	70119741	958506532	0.826811023452962	0.03950154282876415	0.07315520412123806
L6CT_TLE4_FAM95C-YM1	51517621	61846611	54910335	1230350607	37991566	463126979	0.8329902021632196	0.04462982721152102	0.08203272044749524
L6CT_TLE4_FAM95C-YM2	59765607	72403235	58690108	1427257931	41388351	539571653	0.8254549261507446	0.04112088412700507	0.07670594029519931
L6CT_TLE4_FAM95C-YM3	90066110	108269005	89093312	2160549574	62367381	816726466	0.8318734433737522	0.041236411824170434	0.07636263008036279
